,logReturn_d2,logVola_d2,logReturn_d1,logVola_d1,logReturnSum,logVolaSum,logReturnDelta,logVolaDelta
1854,0.0552941369355578,-3.0662249586987698,-0.0488766363710132,-2.92165852891922,0.006417500564544598,-5.98788348761799,0.104170773306571,-0.14456642977954992
1856,0.00646986524108653,-3.32010496487202,0.0679562917348488,-2.5683367331279103,0.07442615697593533,-5.88844169799993,-0.061486426493762264,-0.7517682317441094
1858,0.0789237915051464,-2.9825623391413396,-0.07914035208038901,-3.11579250764223,-0.00021656057524260808,-6.09835484678357,0.15806414358553542,0.1332301685008903
1859,-0.0274198149557709,-2.9507077348963,0.0181336067236491,-2.57031794680452,-0.009286208232121802,-5.52102568170082,-0.04555342167942,-0.3803897880917799
1860,-0.0651084902619721,-3.39252470180225,0.08839807325442697,-3.0285781984544102,0.02328958299245487,-6.42110290025666,-0.15350656351639907,-0.36394650334783973
1862,-0.0871772692292142,-2.51302968121617,0.0520387392306982,-2.73980726502533,-0.03513852999851601,-5.2528369462415,-0.1392160084599124,0.2267775838091599
1863,-0.10621995514838999,-2.87373781096461,0.0458934281585349,-3.15778130237157,-0.060326526989855085,-6.03151911333618,-0.1521133833069249,0.28404349140696006
1864,-0.0255715358590267,-2.4814491611017595,0.0585562023339241,-3.4423089434881495,0.032984666474897395,-5.9237581045899095,-0.0841277381929508,0.96085978238639
1865,-0.0713801663715642,-2.92715631296556,0.10262955251056301,-3.3804356072913198,0.031249386138998803,-6.307591920256879,-0.1740097188821272,0.45327929432576
1868,-0.0746812550419855,-3.0038457675699597,0.0903309016927806,-3.32777522902543,0.0156496466507951,-6.33162099659539,-0.1650121567347661,0.3239294614554704
1870,0.0135097879093555,-3.1082742095575497,0.065629224911051,-3.4445157893584706,0.0791390128204065,-6.552789998916021,-0.052119437001695496,0.33624157980092084
1875,-0.023508377808310003,-3.5189523586804103,0.0311236540477032,-3.5605542589576205,0.007615276239393197,-7.079506617638031,-0.0546320318560132,0.04160190027721011
1877,0.0504735143402149,-2.4635829167042997,0.0480585286802937,-3.37417247167577,0.09853204302050861,-5.83775538838007,0.0024149856599212025,0.9105895549714704
1879,-0.0749305886205832,-2.9394608837355602,0.0440189911550162,-3.10215345970306,-0.030911597465567,-6.041614343438621,-0.1189495797755994,0.16269257596749975
1880,0.0126347848518262,-2.8144670061711,0.20586210329072502,-2.45099901486523,0.21849688814255122,-5.26546602103633,-0.19322731843889882,-0.36346799130587026
1882,-0.0482243480849918,-2.7239717172142797,0.0967794557642352,-3.3158944837311806,0.048555107679243405,-6.03986620094546,-0.145003803849227,0.5919227665169009
1885,-0.0488766363710132,-2.92165852891922,0.0739847541537559,-3.57414019294789,0.025108117782742696,-6.49579872186711,-0.1228613905247691,0.6524816640286701
1886,-0.0423332671159746,-3.24236089829922,0.0383570478205095,-3.18999475929496,-0.0039762192954651,-6.432355657594179,-0.0806903149364841,-0.05236613900426024
1888,-0.0491780781813853,-2.74874378128769,0.14374813242676002,-2.80771034102598,0.09457005424537471,-5.55645412231367,-0.19292621060814533,0.058966559738290236
1890,0.0181336067236491,-2.57031794680452,0.0564010284198453,-3.4032504477786603,0.0745346351434944,-5.973568394583181,-0.03826742169619621,0.8329325009741404
1891,0.08839807325442697,-3.0285781984544102,-0.0298627416020675,-3.39709691082408,0.05853533165235947,-6.42567510927849,0.11826081485649448,0.3685187123696698
1893,0.0520387392306982,-2.73980726502533,-0.0215212118602562,-2.96401693227458,0.030517527370441996,-5.703824197299911,0.0735599510909544,0.22420966724925018
1894,0.0458934281585349,-3.15778130237157,0.0348273657578917,-3.45844500452485,0.0807207939164266,-6.61622630689642,0.0110660624006432,0.3006637021532801
1895,0.0585562023339241,-3.4423089434881495,-0.0255211303469992,-2.8954236758171703,0.0330350719869249,-6.33773261930532,0.0840773326809233,-0.5468852676709792
1896,0.10262955251056301,-3.3804356072913198,-0.0466884463039467,-2.6971320792017597,0.055941106206616305,-6.077567686493079,0.14931799881450972,-0.6833035280895601
1898,0.0700304883892988,-3.48466406542521,-0.0761458325752293,-2.95264571918586,-0.006115344185930502,-6.43730978461107,0.1461763209645281,-0.53201834623935
1899,0.0903309016927806,-3.32777522902543,0.0257600697164368,-3.22483685250092,0.1160909714092174,-6.55261208152635,0.0645708319763438,-0.10293837652451021
1900,0.0248993757607679,-2.7621993071812003,0.00547956637553993,-3.27631013297508,0.030378942136307832,-6.038509440156281,0.01941980938522797,0.5141108257938796
1902,0.0450482096475611,-2.69333871685987,-0.0672958536547584,-2.7799706264052797,-0.022247644007197302,-5.47330934326515,0.1123440633023195,0.08663190954540978
1903,0.0427815169164696,-3.33172476563945,0.0522403747492523,-3.4005146517980895,0.09502189166572189,-6.7322394174375395,-0.009458857832782698,0.06878988615863957
1904,0.0265254744750089,-2.9384182223407,0.0219638806755171,-3.75346139087233,0.048489355150526,-6.691879613213031,0.004561593799491802,0.8150431685316302
1905,0.0540272293664267,-2.9547561106722497,0.0168724945539546,-3.43772838400452,0.0708997239203813,-6.39248449467677,0.0371547348124721,0.48297227333227033
1907,0.0115329749390282,-2.98356575503704,0.038427848807333,-2.97993691822316,0.049960823746361196,-5.9635026732602,-0.0268948738683048,-0.003628836813879932
1908,0.0480585286802937,-3.37417247167577,0.031278184015624995,-3.3133799053884,0.07933671269591869,-6.68755237706417,0.016780344664668705,-0.060792566287370065
1909,0.0436386454285063,-3.45621973915923,0.0287266233882486,-3.5137841647781496,0.0723652688167549,-6.97000390393738,0.014912022040257697,0.05756442561891939
1910,0.0440189911550162,-3.10215345970306,-0.00541679829656977,-2.9062264319460698,0.03860219285844643,-6.008379891649129,0.04943578945158597,-0.19592702775699022
1912,0.0451814134944638,-3.08080827128669,0.0770141204500171,-2.87251092649064,0.1221955339444809,-5.95331919777733,-0.0318327069555533,-0.20829734479605033
1913,0.0967794557642352,-3.3158944837311806,0.00066584333663342,-2.9701291668679,0.09744529910086862,-6.2860236505990805,0.09611361242760179,-0.3457653168632806
1914,0.0566151584945345,-3.0154650911706797,0.00436875899063443,-2.8928806863169503,0.06098391748516893,-5.9083457774876305,0.05224639950390007,-0.12258440485372946
1915,0.0882945595290013,-2.81132951161088,0.0650955842983024,-3.0593676018869798,0.1533901438273037,-5.87069711349786,0.0231989752306989,0.2480380902760997
1916,0.0739847541537559,-3.57414019294789,0.0436963351395866,-2.84437941062756,0.1176810892933425,-6.41851960357545,0.030288419014169295,-0.72976078232033
1920,0.0737825488304385,-3.11236582300436,0.0225705235755077,-3.00863991697003,0.0963530724059462,-6.12100573997439,0.0512120252549308,-0.10372590603432963
1921,0.0564010284198453,-3.4032504477786603,0.0815491918915921,-2.73061808879587,0.1379502203114374,-6.13386853657453,-0.025148163471746796,-0.6726323589827903
1922,-0.0298627416020675,-3.39709691082408,0.0016363543025311401,-2.9646915749828198,-0.028226387299536363,-6.361788485806899,-0.031499095904598644,-0.4324053358412603
1924,-0.0215212118602562,-2.96401693227458,0.0062978339169364,-2.80084235777734,-0.0152233779433198,-5.76485929005192,-0.027819045777192603,-0.16317457449724015
1926,-0.0255211303469992,-2.8954236758171703,-0.0579583163456677,-2.37290221083742,-0.0834794466926669,-5.268325886654591,0.0324371859986685,-0.5225214649797505
1928,0.0371047515731141,-3.4561933753616603,0.037580609438818,-3.49857303181206,0.0746853610119321,-6.95476640717372,-0.00047585786570389366,0.04237965645039976
1930,0.0257600697164368,-3.22483685250092,0.0185769687887236,-3.2437217621849705,0.044337038505160395,-6.46855861468589,0.007183100927713199,0.018884909684050655
1931,0.00547956637553993,-3.27631013297508,-0.0106605147745546,-3.15106341046102,-0.005180948399014671,-6.4273735434361,0.01614008115009453,-0.12524672251405988
1932,0.0006848611711713981,-3.02841802501306,0.00347148602378163,-2.9931301397137005,0.004156347194953028,-6.02154816472676,-0.002786624852610232,-0.035287885299359445
1934,0.0522403747492523,-3.4005146517980895,0.0265780279962409,-3.00925058943648,0.0788184027454932,-6.409765241234569,0.0256623467530114,-0.3912640623616097
1936,0.0168724945539546,-3.43772838400452,0.0856552458468422,-2.31983044735061,0.10252774040079679,-5.75755883135513,-0.0687827512928876,-1.1178979366539101
1938,0.038427848807333,-2.97993691822316,0.000430232332092326,-3.1357810674011,0.03885808113942533,-6.11571798562426,0.03799761647524067,0.15584414917793987
1941,-0.00541679829656977,-2.9062264319460698,-0.0374573768454191,-2.7951444420346303,-0.04287417514198887,-5.7013708739807,0.032040578548849334,-0.11108198991143947
1942,-0.0205358050223126,-2.67128257418031,0.0309596177058988,-2.67325030255263,0.010423812683586199,-5.34453287673294,-0.0514954227282114,0.0019677283723198435
1943,0.0770141204500171,-2.87251092649064,-0.0741925202581026,-2.82710358345828,0.0028216001919144917,-5.69961450994892,0.1512066407081197,-0.045407343032359826
1944,0.00066584333663342,-2.9701291668679,-0.039345537035263,-2.679925394175,-0.03867969369862958,-5.6500545610429,0.04001138037189642,-0.2902037726928999
1946,0.0650955842983024,-3.0593676018869798,-0.0867456827210765,-2.96241291623317,-0.0216500984227741,-6.021780518120149,0.1518412670193789,-0.09695468565380994
1949,0.0140386498862332,-2.98553948367124,0.0381154004873969,-2.72415191134499,0.0521540503736301,-5.709691395016231,-0.024076750601163703,-0.26138757232625
1950,0.0076478864612157,-2.8850045208191495,-0.0277195728428371,-2.8143238981255094,-0.0200716863816214,-5.699328418944659,0.0353674593040528,-0.07068062269364006
1952,0.0815491918915921,-2.73061808879587,-0.0249337860368778,-2.82434792855338,0.0566154058547143,-5.554966017349249,0.10648297792846989,0.09372983975750993
1954,0.0336319294529727,-3.18876007342941,0.0161183826952304,-3.5821515850999304,0.0497503121482031,-6.77091165852934,0.017513546757742297,0.39339151167052044
1955,0.0062978339169364,-2.80084235777734,0.0570922767537196,-3.2861150090189506,0.063390110670656,-6.086957366796291,-0.0507944428367832,0.48527265124161056
1956,0.0533413518948336,-3.15626382753564,-0.00875227896069714,-3.5785980842237697,0.044589072934136456,-6.73486191175941,0.06209363085553074,0.42233425668812963
1957,-0.0579583163456677,-2.37290221083742,0.0434370130484091,-3.1912834732225495,-0.014521303297258599,-5.56418568405997,-0.1013953293940768,0.8183812623851296
1958,-0.0195476545178756,-2.7575615292051805,0.0564083544806686,-3.0903953830645,0.036860699962793,-5.84795691226968,-0.07595600899854421,0.33283385385931963
1960,-0.0621931329257184,-2.31448069501897,0.0596837106368906,-2.85497334651707,-0.002509422288827806,-5.16945404153604,-0.121876843562609,0.5404926514980999
1961,0.0185769687887236,-3.2437217621849705,0.0183411925429257,-3.5373303049434197,0.036918161331649296,-6.781052067128391,0.00023577624579789944,0.29360854275844916
1962,-0.0106605147745546,-3.15106341046102,0.0564072812568275,-3.3733421880765,0.045746766482272896,-6.52440559853752,-0.0670677960313821,0.2222787776154802
1964,-0.12024605064514501,-1.9293643202928599,0.015021880052089,-2.54655745097255,-0.10522417059305601,-4.47592177126541,-0.135267930697234,0.6171931306796901
1965,0.0265780279962409,-3.00925058943648,0.0409262333806827,-3.50030186954375,0.0675042613769236,-6.50955245898023,-0.0143482053844418,0.4910512801072704
1966,0.0601187551253489,-3.11262482497465,0.00318303857875126,-3.59515184985401,0.06330179370410016,-6.70777667482866,0.05693571654659764,0.4825270248793596
1967,0.0856552458468422,-2.31983044735061,0.0734222550217048,-3.2035538003216497,0.159077500868547,-5.52338424767226,0.012232990825137402,0.8837233529710398
1968,0.0349292222409814,-3.53395992909313,0.0126058116224366,-3.51780744727543,0.047535033863417994,-7.051767376368559,0.022323410618544797,-0.016152481817699904
1969,0.000430232332092326,-3.1357810674011,0.0676309491968815,-2.68905040113078,0.06806118152897384,-5.82483146853188,-0.06720071686478918,-0.4467306662703199
1971,0.0707854500571806,-3.44967505855348,0.0284368069435252,-3.69491305364904,0.09922225700070579,-7.14458811220252,0.042348643113655396,0.2452379950955601
1972,-0.0374573768454191,-2.7951444420346303,-9.14007160360301e-05,-3.08247856342209,-0.03754877756145513,-5.87762300545672,-0.037365976129383076,0.2873341213874596
1976,-0.0211923432914596,-2.6108049717882595,-0.0411069057943586,-3.23586405446648,-0.0622992490858182,-5.846669026254739,0.019914562502899,0.6250590826782205
