year,month,variable,value,isin
2015,4,logReturn,0.007217517860515398,US0378331005
2015,3,logReturn,-0.03676629706414915,US0378331005
2015,2,logReturn,0.08351941021631791,US0378331005
2015,1,logReturn,0.06916936392594004,US0378331005
2014,12,logReturn,-0.04161249794618062,US0378331005
2014,11,logReturn,0.08783878474136746,US0378331005
2014,10,logReturn,0.0851948172093228,US0378331005
2014,9,logReturn,-0.024995332030962304,US0378331005
2014,8,logReturn,0.06912352749660147,US0378331005
2014,7,logReturn,0.02199718250238121,US0378331005
2014,6,logReturn,0.03418332175396364,US0378331005
2014,5,logReturn,0.07342225502170478,US0378331005
2014,4,logReturn,0.08565524584684221,US0378331005
2014,3,logReturn,0.016872494553954624,US0378331005
2014,2,logReturn,0.0540272293664267,US0378331005
2014,1,logReturn,-0.09978564397541731,US0378331005
2013,12,logReturn,0.017603808557018888,US0378331005
2013,11,logReturn,0.07284549089078905,US0378331005
2013,10,logReturn,0.06877833502448155,US0378331005
2013,9,logReturn,-0.0245101337175523,US0378331005
2013,8,logReturn,0.07132752917602808,US0378331005
2013,7,logReturn,0.10060060823278127,US0378331005
2013,6,logReturn,-0.12809463865702794,US0378331005
2013,5,logReturn,0.03015300308256707,US0378331005
2013,4,logReturn,0.03182486167089528,US0378331005
2013,3,logReturn,0.027923768328640297,US0378331005
2013,2,logReturn,-0.021666031438431006,US0378331005
2013,1,logReturn,-0.18678054099508323,US0378331005
2012,12,logReturn,-0.09667630525571806,US0378331005
2012,11,logReturn,-0.014317828847728954,US0378331005
